discrete,segment,set,expectdiscrete,expectsegment,expectset
0,0.1,0,0,0.918182,0
0.00891089,0.0960396,0.0910891,0.9,0.881818,0.92
0.0119403,0.100498,0.0945274,1.20597,0.92275,0.954726
0.0116279,0.106645,0.0953488,1.17442,0.979191,0.963023
0.0119701,0.108728,0.0955112,1.20898,0.998322,0.964663
0.0113772,0.110579,0.096008,1.1491,1.01531,0.969681
0.0101498,0.106489,0.0956739,1.02512,0.977764,0.966306
0.0104137,0.10913,0.0948645,1.05178,1.00201,0.958131
0.0111111,0.109613,0.0945069,1.12222,1.00645,0.954519
0.0105438,0.108435,0.0953385,1.06493,0.995631,0.962919
0.0101898,0.107892,0.0943057,1.02917,0.990646,0.952488
0.0103542,0.10772,0.0941871,1.04578,0.989068,0.95129
0.0103247,0.107494,0.0948376,1.0428,0.986988,0.95786
0.0106072,0.106687,0.0956956,1.07133,0.979582,0.966526
0.0106353,0.106781,0.0958601,1.07416,0.980443,0.968187
0.0105929,0.105996,0.0956696,1.06989,0.973236,0.966262
0.0105559,0.106496,0.0954404,1.06615,0.977826,0.963948
0.0102881,0.106408,0.0957672,1.03909,0.977019,0.967249
0.0103831,0.108218,0.0966685,1.0487,0.993635,0.976352
0.00988953,0.107365,0.0961599,0.998843,0.985802,0.971215
0.0097951,0.108146,0.0967017,0.989305,0.992976,0.976687
0.00966207,0.107711,0.0970014,0.975869,0.988979,0.979714
0.00976829,0.107769,0.0974557,0.986597,0.989517,0.984303
0.00964798,0.107823,0.0972621,0.974446,0.990008,0.982347
0.00957934,0.107705,0.0972511,0.967514,0.988929,0.982237
0.00979608,0.107997,0.0969212,0.989404,0.991607,0.978904
0.00968858,0.108074,0.0973472,0.978547,0.992314,0.983206
0.00962606,0.108515,0.0974084,0.972233,0.996368,0.983825
0.00967512,0.109247,0.0979293,0.977187,1.00308,0.989086
0.0095829,0.109135,0.0982075,0.967873,1.00206,0.991896
0.00963012,0.10913,0.0978674,0.972642,1.00201,0.988461
0.00957756,0.109094,0.0976459,0.967333,1.00168,0.986224
0.00943455,0.108497,0.0974383,0.95289,0.996203,0.984127
0.00939109,0.108058,0.0974553,0.9485,0.99217,0.984299
0.0094384,0.108203,0.0974419,0.953278,0.993505,0.984163
0.00945444,0.107969,0.0968866,0.954899,0.991353,0.978555
0.00946959,0.108636,0.0970008,0.956429,0.997481,0.979708
0.00937584,0.108619,0.0965415,0.94696,0.997323,0.975069
0.00933965,0.108603,0.096422,0.943304,0.997173,0.973862
0.00948475,0.107947,0.096847,0.957959,0.991147,0.978154
0.00944764,0.107723,0.0967758,0.954211,0.989094,0.977436
